regulation_id,Total Assets,Sales,Employees
AT_2,5000000 [EUR],10000000 [EUR],50
AT_3,5000000 [EUR],10000000 [EUR],50
AT_4,350000 [EUR],700000 [EUR],10
AT_5,5000000 [EUR],10000000 [EUR],50
AT_6,20000000 [EUR],40000000 [EUR],250
AU_1,10000000 [AUD],5000000 [AUD],50
AU_2,10000000 [AUD],5000000 [AUD],50
AU_3,10000000 [AUD],5000000 [AUD],50
AU_4,10000000 [AUD],5000000 [AUD],50
BE_3,4500000 [EUR],9000000 [EUR],50
BE_4,350000 [EUR],700000 [EUR],10
BE_5,4500000 [EUR],9000000 [EUR],50
BG_3,2000000 [BGN],4000000 [BGN],50
BG_4,700000 [BGN],140000 [BGN],10
BG_5,8000000 [BGN],16000000 [BGN],50
BG_6,38000000 [BGN],76000000 [BGN],250
CH_1,NA,500000 [CHF],NA
CH_2,NA,500000 [CHF],NA
CH_5,200000000 [CHF],40000000 [CHF],250
CZ_3,40000000 [CZH],80000000 [CZH],50
DE_1,350000 [EUR],700000 [EUR],10
DE_2,6000000 [EUR],12000000 [EUR],50
DE_3,6000000 [EUR],12000000 [EUR],50
DE_4,350000 [EUR],700000 [EUR],10
DE_5,6000000 [EUR],12000000 [EUR],50
DE_6,20000000 [EUR],40000000 [EUR],250
DE_7,65000000 [EUR],130000000 [EUR],5000
DE_8,65000000 [EUR],130000000 [EUR],5000
DE_9,65000000 [EUR],130000000 [EUR],5000
DK_1,44000000 [DKK],89000000 [EUR],50
DK_2,156000000 [DKK],313000000 [DKK],250
DK_3,4000000 [DKK],12000000 [DKK],12
EE_3,2000000 [EUR],4000000 [EUR],50
ES_3,2850000 [EUR],5700000 [EUR],50
FI_3,350000 [EUR],700000 [EUR],10
FI_4,6000000 [EUR],12000000 [EUR],50
FI_5,20000000 [EUR],40000000 [EUR],250
FI_6,100000 [EUR],200000 [EUR],3
FR_1,350000 [EUR],700000 [EUR],10
FR_2,350000 [EUR],700000 [EUR],10
FR_3,350000 [EUR],700000 [EUR],10
FR_4,6000000 [EUR],12000000 [EUR],50
FR_5,20000000 [EUR],40000000 [EUR],250
FR_6,4000000 [EUR],8000000 [EUR],50
GB_3,316000 [GBP],632000 [GBP],10
GB_4,5100000 [GBP],10200000 [GBP],50
GB_5,5100000 [GBP],10200000 [GBP],50
GR_1,350000 [EUR],700000 [EUR],10
GR_2,350000 [EUR],700000 [EUR],10
GR_3,350000 [EUR],700000 [EUR],10
GR_4,4000000 [EUR],8000000 [EUR],50
GR_5,20000000 [EUR],40000000 [EUR],250
GR_6,4000000 [EUR],8000000 [EUR],50
HR_3,350000 [EUR],700000 [EUR],10
HR_4,4000000 [EUR],8000000 [EUR],50
HR_5,20000000 [EUR],40000000 [EUR],250
HR_6,4000000 [EUR],8000000 [EUR],50
HU_3,1200000 [HUF],2400000 [HUF],50
HU_4,NA,300000000 [HUF],50
IE_2,4400000 [EUR],8800000 [EUR],50
IE_3,4400000 [EUR],8800000 [EUR],50
IE_4,10000000 [EUR],20000000 [EUR],250
IE_5,4400000 [EUR],8800000 [EUR],50
IE_3,20000000 [ISK],40000000 [ISK],3
IE_4,600000000 [ISK],120000000 [ISK],50
IE_5,3000000000 [ISK],6000000000 [ISK],250
IE_6,200000000 [ISK],400000000 [ISK],50
IT_3,175000 [EUR],350000 [EUR],5
IT_4,4400000 [EUR],8800000 [EUR],50
IT_5,4000000 [EUR],4000000 [EUR],20
LT_3,350000 [EUR],700000 [EUR],10
LT_4,4000000 [EUR],8000000 [EUR],50
LT_5,20000000 [EUR],40000000 [EUR],250
LT_6,1800000 [EUR],3500000 [EUR],50
LU_1,4400000 [EUR],8800000 [EUR],50
LU_2,4400000 [EUR],8800000 [EUR],50
LV_3,350000 [EUR],700000 [EUR],10
LV_4,4000000 [EUR],8000000 [EUR],50
LV_5,20000000 [EUR],40000000 [EUR],250
LV_6,800000 [EUR],1600000 [EUR],50
MT_3,20000000 [EUR],40000000 [EUR],250
MT_4,46600 [EUR],93000  [EUR],2
NL_2,6000000 [EUR],12000000 [EUR],50
NL_3,350000 [EUR],700000 [EUR],10
NL_4,6000000 [EUR],12000000 [EUR],50
NL_5,20000000 [EUR],40000000 [EUR],250
NL_6,6000000 [EUR],12000000 [EUR],50
NO_3,35000000 [NOK],70000000 [NOK],50
NZ_1,33000000 [NZD],66000000 [NZD],NA
NZ_2,33000000 [NZD],66000000 [NZD],NA
NZ_3,33000000 [NZD],66000000 [NZD],NA
NZ_4,33000000 [NZD],66000000 [NZD],NA
PL_3,2500000 [EUR],5000000 [EUR],50
PT_3,1500000 [EUR],3000000 [EUR],50
RO_3,3500000 [EUR],7000000 [EUR],50
SE_3,1500000 [SEK],3000000 [SEK],3
SI_3,350000 [EUR],700000 [EUR],10
SI_4,4000000 [EUR],8000000 [EUR],50
SI_5,20000000 [EUR],40000000 [EUR],250
SI_6,20000000 [EUR],40000000 [EUR],250
SK_3,1000000 [EUR],2000000 [EUR],30
